Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
30/01/2020,England,Pillar 1,2,2
30/01/2020,Northern Ireland,Pillar 1,0,0
30/01/2020,Scotland,Pillar 1,0,0
30/01/2020,Wales,Pillar 1,0,0
30/01/2020,UK,Pillar 1,2,2
30/01/2020,England,Pillar 2,0,0
30/01/2020,Northern Ireland,Pillar 2,0,0
30/01/2020,Scotland,Pillar 2,0,0
30/01/2020,Wales,Pillar 2,0,0
30/01/2020,UK,Pillar 2,0,0
31/01/2020,England,Pillar 1,0,2
31/01/2020,Northern Ireland,Pillar 1,0,0
31/01/2020,Scotland,Pillar 1,0,0
31/01/2020,Wales,Pillar 1,0,0
31/01/2020,UK,Pillar 1,0,2
31/01/2020,England,Pillar 2,0,0
31/01/2020,Northern Ireland,Pillar 2,0,0
31/01/2020,Scotland,Pillar 2,0,0
31/01/2020,Wales,Pillar 2,0,0
31/01/2020,UK,Pillar 2,0,0
01/02/2020,England,Pillar 1,0,2
01/02/2020,Northern Ireland,Pillar 1,0,0
01/02/2020,Scotland,Pillar 1,0,0
01/02/2020,Wales,Pillar 1,0,0
01/02/2020,UK,Pillar 1,0,2
01/02/2020,England,Pillar 2,0,0
01/02/2020,Northern Ireland,Pillar 2,0,0
01/02/2020,Scotland,Pillar 2,0,0
01/02/2020,Wales,Pillar 2,0,0
01/02/2020,UK,Pillar 2,0,0
02/02/2020,England,Pillar 1,0,2
02/02/2020,Northern Ireland,Pillar 1,0,0
02/02/2020,Scotland,Pillar 1,0,0
02/02/2020,Wales,Pillar 1,0,0
02/02/2020,UK,Pillar 1,0,2
02/02/2020,England,Pillar 2,0,0
02/02/2020,Northern Ireland,Pillar 2,0,0
02/02/2020,Scotland,Pillar 2,0,0
02/02/2020,Wales,Pillar 2,0,0
02/02/2020,UK,Pillar 2,0,0
03/02/2020,England,Pillar 1,1,3
03/02/2020,Northern Ireland,Pillar 1,0,0
03/02/2020,Scotland,Pillar 1,0,0
03/02/2020,Wales,Pillar 1,0,0
03/02/2020,UK,Pillar 1,1,3
03/02/2020,England,Pillar 2,0,0
03/02/2020,Northern Ireland,Pillar 2,0,0
03/02/2020,Scotland,Pillar 2,0,0
03/02/2020,Wales,Pillar 2,0,0
03/02/2020,UK,Pillar 2,0,0
04/02/2020,England,Pillar 1,0,3
04/02/2020,Northern Ireland,Pillar 1,0,0
04/02/2020,Scotland,Pillar 1,0,0
04/02/2020,Wales,Pillar 1,0,0
04/02/2020,UK,Pillar 1,0,3
04/02/2020,England,Pillar 2,0,0
04/02/2020,Northern Ireland,Pillar 2,0,0
04/02/2020,Scotland,Pillar 2,0,0
04/02/2020,Wales,Pillar 2,0,0
04/02/2020,UK,Pillar 2,0,0
05/02/2020,England,Pillar 1,1,4
05/02/2020,Northern Ireland,Pillar 1,0,0
05/02/2020,Scotland,Pillar 1,0,0
05/02/2020,Wales,Pillar 1,0,0
05/02/2020,UK,Pillar 1,1,4
05/02/2020,England,Pillar 2,0,0
05/02/2020,Northern Ireland,Pillar 2,0,0
05/02/2020,Scotland,Pillar 2,0,0
05/02/2020,Wales,Pillar 2,0,0
05/02/2020,UK,Pillar 2,0,0
06/02/2020,England,Pillar 1,0,4
06/02/2020,Northern Ireland,Pillar 1,0,0
06/02/2020,Scotland,Pillar 1,0,0
06/02/2020,Wales,Pillar 1,0,0
06/02/2020,UK,Pillar 1,0,4
06/02/2020,England,Pillar 2,0,0
06/02/2020,Northern Ireland,Pillar 2,0,0
06/02/2020,Scotland,Pillar 2,0,0
06/02/2020,Wales,Pillar 2,0,0
06/02/2020,UK,Pillar 2,0,0
07/02/2020,England,Pillar 1,0,4
07/02/2020,Northern Ireland,Pillar 1,0,0
07/02/2020,Scotland,Pillar 1,0,0
07/02/2020,Wales,Pillar 1,0,0
07/02/2020,UK,Pillar 1,0,4
07/02/2020,England,Pillar 2,0,0
07/02/2020,Northern Ireland,Pillar 2,0,0
07/02/2020,Scotland,Pillar 2,0,0
07/02/2020,Wales,Pillar 2,0,0
07/02/2020,UK,Pillar 2,0,0
08/02/2020,England,Pillar 1,4,8
08/02/2020,Northern Ireland,Pillar 1,0,0
08/02/2020,Scotland,Pillar 1,0,0
08/02/2020,Wales,Pillar 1,0,0
08/02/2020,UK,Pillar 1,4,8
08/02/2020,England,Pillar 2,0,0
08/02/2020,Northern Ireland,Pillar 2,0,0
08/02/2020,Scotland,Pillar 2,0,0
08/02/2020,Wales,Pillar 2,0,0
08/02/2020,UK,Pillar 2,0,0
09/02/2020,England,Pillar 1,1,9
09/02/2020,Northern Ireland,Pillar 1,0,0
09/02/2020,Scotland,Pillar 1,0,0
09/02/2020,Wales,Pillar 1,0,0
09/02/2020,UK,Pillar 1,1,9
09/02/2020,England,Pillar 2,0,0
09/02/2020,Northern Ireland,Pillar 2,0,0
09/02/2020,Scotland,Pillar 2,0,0
09/02/2020,Wales,Pillar 2,0,0
09/02/2020,UK,Pillar 2,0,0
10/02/2020,England,Pillar 1,0,9
10/02/2020,Northern Ireland,Pillar 1,0,0
10/02/2020,Scotland,Pillar 1,0,0
10/02/2020,Wales,Pillar 1,0,0
10/02/2020,UK,Pillar 1,0,9
10/02/2020,England,Pillar 2,0,0
10/02/2020,Northern Ireland,Pillar 2,0,0
10/02/2020,Scotland,Pillar 2,0,0
10/02/2020,Wales,Pillar 2,0,0
10/02/2020,UK,Pillar 2,0,0
11/02/2020,England,Pillar 1,1,10
11/02/2020,Northern Ireland,Pillar 1,0,0
11/02/2020,Scotland,Pillar 1,0,0
11/02/2020,Wales,Pillar 1,0,0
11/02/2020,UK,Pillar 1,1,10
11/02/2020,England,Pillar 2,0,0
11/02/2020,Northern Ireland,Pillar 2,0,0
11/02/2020,Scotland,Pillar 2,0,0
11/02/2020,Wales,Pillar 2,0,0
11/02/2020,UK,Pillar 2,0,0
12/02/2020,England,Pillar 1,0,10
12/02/2020,Northern Ireland,Pillar 1,0,0
12/02/2020,Scotland,Pillar 1,0,0
12/02/2020,Wales,Pillar 1,0,0
12/02/2020,UK,Pillar 1,0,10
12/02/2020,England,Pillar 2,0,0
12/02/2020,Northern Ireland,Pillar 2,0,0
12/02/2020,Scotland,Pillar 2,0,0
12/02/2020,Wales,Pillar 2,0,0
12/02/2020,UK,Pillar 2,0,0
13/02/2020,England,Pillar 1,0,10
13/02/2020,Northern Ireland,Pillar 1,0,0
13/02/2020,Scotland,Pillar 1,0,0
13/02/2020,Wales,Pillar 1,0,0
13/02/2020,UK,Pillar 1,0,10
13/02/2020,England,Pillar 2,0,0
13/02/2020,Northern Ireland,Pillar 2,0,0
13/02/2020,Scotland,Pillar 2,0,0
13/02/2020,Wales,Pillar 2,0,0
13/02/2020,UK,Pillar 2,0,0
14/02/2020,England,Pillar 1,0,10
14/02/2020,Northern Ireland,Pillar 1,0,0
14/02/2020,Scotland,Pillar 1,0,0
14/02/2020,Wales,Pillar 1,0,0
14/02/2020,UK,Pillar 1,0,10
14/02/2020,England,Pillar 2,0,0
14/02/2020,Northern Ireland,Pillar 2,0,0
14/02/2020,Scotland,Pillar 2,0,0
14/02/2020,Wales,Pillar 2,0,0
14/02/2020,UK,Pillar 2,0,0
15/02/2020,England,Pillar 1,0,10
15/02/2020,Northern Ireland,Pillar 1,0,0
15/02/2020,Scotland,Pillar 1,0,0
15/02/2020,Wales,Pillar 1,0,0
15/02/2020,UK,Pillar 1,0,10
15/02/2020,England,Pillar 2,0,0
15/02/2020,Northern Ireland,Pillar 2,0,0
15/02/2020,Scotland,Pillar 2,0,0
15/02/2020,Wales,Pillar 2,0,0
15/02/2020,UK,Pillar 2,0,0
16/02/2020,England,Pillar 1,0,10
16/02/2020,Northern Ireland,Pillar 1,0,0
16/02/2020,Scotland,Pillar 1,0,0
16/02/2020,Wales,Pillar 1,0,0
16/02/2020,UK,Pillar 1,0,10
16/02/2020,England,Pillar 2,0,0
16/02/2020,Northern Ireland,Pillar 2,0,0
16/02/2020,Scotland,Pillar 2,0,0
16/02/2020,Wales,Pillar 2,0,0
16/02/2020,UK,Pillar 2,0,0
17/02/2020,England,Pillar 1,0,10
17/02/2020,Northern Ireland,Pillar 1,0,0
17/02/2020,Scotland,Pillar 1,0,0
17/02/2020,Wales,Pillar 1,0,0
17/02/2020,UK,Pillar 1,0,10
17/02/2020,England,Pillar 2,0,0
17/02/2020,Northern Ireland,Pillar 2,0,0
17/02/2020,Scotland,Pillar 2,0,0
17/02/2020,Wales,Pillar 2,0,0
17/02/2020,UK,Pillar 2,0,0
18/02/2020,England,Pillar 1,0,10
18/02/2020,Northern Ireland,Pillar 1,0,0
18/02/2020,Scotland,Pillar 1,0,0
18/02/2020,Wales,Pillar 1,0,0
18/02/2020,UK,Pillar 1,0,10
18/02/2020,England,Pillar 2,0,0
18/02/2020,Northern Ireland,Pillar 2,0,0
18/02/2020,Scotland,Pillar 2,0,0
18/02/2020,Wales,Pillar 2,0,0
18/02/2020,UK,Pillar 2,0,0
19/02/2020,England,Pillar 1,0,10
19/02/2020,Northern Ireland,Pillar 1,0,0
19/02/2020,Scotland,Pillar 1,0,0
19/02/2020,Wales,Pillar 1,0,0
19/02/2020,UK,Pillar 1,0,10
19/02/2020,England,Pillar 2,0,0
19/02/2020,Northern Ireland,Pillar 2,0,0
19/02/2020,Scotland,Pillar 2,0,0
19/02/2020,Wales,Pillar 2,0,0
19/02/2020,UK,Pillar 2,0,0
20/02/2020,England,Pillar 1,0,10
20/02/2020,Northern Ireland,Pillar 1,0,0
20/02/2020,Scotland,Pillar 1,0,0
20/02/2020,Wales,Pillar 1,0,0
20/02/2020,UK,Pillar 1,0,10
20/02/2020,England,Pillar 2,0,0
20/02/2020,Northern Ireland,Pillar 2,0,0
20/02/2020,Scotland,Pillar 2,0,0
20/02/2020,Wales,Pillar 2,0,0
20/02/2020,UK,Pillar 2,0,0
21/02/2020,England,Pillar 1,1,11
21/02/2020,Northern Ireland,Pillar 1,0,0
21/02/2020,Scotland,Pillar 1,0,0
21/02/2020,Wales,Pillar 1,0,0
21/02/2020,UK,Pillar 1,1,11
21/02/2020,England,Pillar 2,0,0
21/02/2020,Northern Ireland,Pillar 2,0,0
21/02/2020,Scotland,Pillar 2,0,0
21/02/2020,Wales,Pillar 2,0,0
21/02/2020,UK,Pillar 2,0,0
22/02/2020,England,Pillar 1,0,11
22/02/2020,Northern Ireland,Pillar 1,0,0
22/02/2020,Scotland,Pillar 1,0,0
22/02/2020,Wales,Pillar 1,0,0
22/02/2020,UK,Pillar 1,0,11
22/02/2020,England,Pillar 2,0,0
22/02/2020,Northern Ireland,Pillar 2,0,0
22/02/2020,Scotland,Pillar 2,0,0
22/02/2020,Wales,Pillar 2,0,0
22/02/2020,UK,Pillar 2,0,0
23/02/2020,England,Pillar 1,0,11
23/02/2020,Northern Ireland,Pillar 1,0,0
23/02/2020,Scotland,Pillar 1,0,0
23/02/2020,Wales,Pillar 1,0,0
23/02/2020,UK,Pillar 1,0,11
23/02/2020,England,Pillar 2,0,0
23/02/2020,Northern Ireland,Pillar 2,0,0
23/02/2020,Scotland,Pillar 2,0,0
23/02/2020,Wales,Pillar 2,0,0
23/02/2020,UK,Pillar 2,0,0
24/02/2020,England,Pillar 1,2,13
24/02/2020,Northern Ireland,Pillar 1,0,0
24/02/2020,Scotland,Pillar 1,0,0
24/02/2020,Wales,Pillar 1,0,0
24/02/2020,UK,Pillar 1,2,13
24/02/2020,England,Pillar 2,0,0
24/02/2020,Northern Ireland,Pillar 2,0,0
24/02/2020,Scotland,Pillar 2,0,0
24/02/2020,Wales,Pillar 2,0,0
24/02/2020,UK,Pillar 2,0,0
25/02/2020,England,Pillar 1,5,18
25/02/2020,Northern Ireland,Pillar 1,0,0
25/02/2020,Scotland,Pillar 1,0,0
25/02/2020,Wales,Pillar 1,0,0
25/02/2020,UK,Pillar 1,5,18
25/02/2020,England,Pillar 2,0,0
25/02/2020,Northern Ireland,Pillar 2,0,0
25/02/2020,Scotland,Pillar 2,0,0
25/02/2020,Wales,Pillar 2,0,0
25/02/2020,UK,Pillar 2,0,0
26/02/2020,England,Pillar 1,4,22
26/02/2020,Northern Ireland,Pillar 1,0,0
26/02/2020,Scotland,Pillar 1,0,0
26/02/2020,Wales,Pillar 1,0,0
26/02/2020,UK,Pillar 1,4,22
26/02/2020,England,Pillar 2,0,0
26/02/2020,Northern Ireland,Pillar 2,0,0
26/02/2020,Scotland,Pillar 2,0,0
26/02/2020,Wales,Pillar 2,0,0
26/02/2020,UK,Pillar 2,0,0
27/02/2020,England,Pillar 1,7,29
27/02/2020,Northern Ireland,Pillar 1,0,0
27/02/2020,Scotland,Pillar 1,0,0
27/02/2020,Wales,Pillar 1,1,1
27/02/2020,UK,Pillar 1,8,30
27/02/2020,England,Pillar 2,0,0
27/02/2020,Northern Ireland,Pillar 2,0,0
27/02/2020,Scotland,Pillar 2,0,0
27/02/2020,Wales,Pillar 2,0,0
27/02/2020,UK,Pillar 2,0,0
28/02/2020,England,Pillar 1,11,40
28/02/2020,Northern Ireland,Pillar 1,0,0
28/02/2020,Scotland,Pillar 1,1,1
28/02/2020,Wales,Pillar 1,0,1
28/02/2020,UK,Pillar 1,12,42
28/02/2020,England,Pillar 2,0,0
28/02/2020,Northern Ireland,Pillar 2,0,0
28/02/2020,Scotland,Pillar 2,0,0
28/02/2020,Wales,Pillar 2,0,0
28/02/2020,UK,Pillar 2,0,0
29/02/2020,England,Pillar 1,5,45
29/02/2020,Northern Ireland,Pillar 1,0,0
29/02/2020,Scotland,Pillar 1,0,1
29/02/2020,Wales,Pillar 1,0,1
29/02/2020,UK,Pillar 1,5,47
29/02/2020,England,Pillar 2,0,0
29/02/2020,Northern Ireland,Pillar 2,0,0
29/02/2020,Scotland,Pillar 2,0,0
29/02/2020,Wales,Pillar 2,0,0
29/02/2020,UK,Pillar 2,0,0
01/03/2020,England,Pillar 1,20,65
01/03/2020,Northern Ireland,Pillar 1,0,0
01/03/2020,Scotland,Pillar 1,2,3
01/03/2020,Wales,Pillar 1,0,1
01/03/2020,UK,Pillar 1,22,69
01/03/2020,England,Pillar 2,0,0
01/03/2020,Northern Ireland,Pillar 2,0,0
01/03/2020,Scotland,Pillar 2,0,0
01/03/2020,Wales,Pillar 2,0,0
01/03/2020,UK,Pillar 2,0,0
02/03/2020,England,Pillar 1,39,104
02/03/2020,Northern Ireland,Pillar 1,0,0
02/03/2020,Scotland,Pillar 1,1,4
02/03/2020,Wales,Pillar 1,0,1
02/03/2020,UK,Pillar 1,40,109
02/03/2020,England,Pillar 2,0,0
02/03/2020,Northern Ireland,Pillar 2,0,0
02/03/2020,Scotland,Pillar 2,0,0
02/03/2020,Wales,Pillar 2,0,0
02/03/2020,UK,Pillar 2,0,0
03/03/2020,England,Pillar 1,53,157
03/03/2020,Northern Ireland,Pillar 1,0,0
03/03/2020,Scotland,Pillar 1,3,7
03/03/2020,Wales,Pillar 1,0,1
03/03/2020,UK,Pillar 1,56,165
03/03/2020,England,Pillar 2,0,0
03/03/2020,Northern Ireland,Pillar 2,0,0
03/03/2020,Scotland,Pillar 2,0,0
03/03/2020,Wales,Pillar 2,0,0
03/03/2020,UK,Pillar 2,0,0
04/03/2020,England,Pillar 1,49,206
04/03/2020,Northern Ireland,Pillar 1,0,0
04/03/2020,Scotland,Pillar 1,6,13
04/03/2020,Wales,Pillar 1,1,2
04/03/2020,UK,Pillar 1,56,221
04/03/2020,England,Pillar 2,0,0
04/03/2020,Northern Ireland,Pillar 2,0,0
04/03/2020,Scotland,Pillar 2,0,0
04/03/2020,Wales,Pillar 2,0,0
04/03/2020,UK,Pillar 2,0,0
05/03/2020,England,Pillar 1,47,253
05/03/2020,Northern Ireland,Pillar 1,0,0
05/03/2020,Scotland,Pillar 1,2,15
05/03/2020,Wales,Pillar 1,0,2
05/03/2020,UK,Pillar 1,49,270
05/03/2020,England,Pillar 2,0,0
05/03/2020,Northern Ireland,Pillar 2,0,0
05/03/2020,Scotland,Pillar 2,0,0
05/03/2020,Wales,Pillar 2,0,0
05/03/2020,UK,Pillar 2,0,0
06/03/2020,England,Pillar 1,73,326
06/03/2020,Northern Ireland,Pillar 1,0,0
06/03/2020,Scotland,Pillar 1,6,21
06/03/2020,Wales,Pillar 1,0,2
06/03/2020,UK,Pillar 1,79,349
06/03/2020,England,Pillar 2,0,0
06/03/2020,Northern Ireland,Pillar 2,0,0
06/03/2020,Scotland,Pillar 2,0,0
06/03/2020,Wales,Pillar 2,0,0
06/03/2020,UK,Pillar 2,0,0
07/03/2020,England,Pillar 1,47,373
07/03/2020,Northern Ireland,Pillar 1,0,0
07/03/2020,Scotland,Pillar 1,6,27
07/03/2020,Wales,Pillar 1,2,4
07/03/2020,UK,Pillar 1,55,404
07/03/2020,England,Pillar 2,0,0
07/03/2020,Northern Ireland,Pillar 2,0,0
07/03/2020,Scotland,Pillar 2,0,0
07/03/2020,Wales,Pillar 2,0,0
07/03/2020,UK,Pillar 2,0,0
08/03/2020,England,Pillar 1,50,423
08/03/2020,Northern Ireland,Pillar 1,0,0
08/03/2020,Scotland,Pillar 1,3,30
08/03/2020,Wales,Pillar 1,1,5
08/03/2020,UK,Pillar 1,54,458
08/03/2020,England,Pillar 2,0,0
08/03/2020,Northern Ireland,Pillar 2,0,0
08/03/2020,Scotland,Pillar 2,0,0
08/03/2020,Wales,Pillar 2,0,0
08/03/2020,UK,Pillar 2,0,0
09/03/2020,England,Pillar 1,125,548
09/03/2020,Northern Ireland,Pillar 1,1,1
09/03/2020,Scotland,Pillar 1,18,48
09/03/2020,Wales,Pillar 1,3,8
09/03/2020,UK,Pillar 1,147,605
09/03/2020,England,Pillar 2,0,0
09/03/2020,Northern Ireland,Pillar 2,0,0
09/03/2020,Scotland,Pillar 2,0,0
09/03/2020,Wales,Pillar 2,0,0
09/03/2020,UK,Pillar 2,0,0
10/03/2020,England,Pillar 1,223,771
10/03/2020,Northern Ireland,Pillar 1,4,5
10/03/2020,Scotland,Pillar 1,19,67
10/03/2020,Wales,Pillar 1,12,20
10/03/2020,UK,Pillar 1,258,863
10/03/2020,England,Pillar 2,0,0
10/03/2020,Northern Ireland,Pillar 2,0,0
10/03/2020,Scotland,Pillar 2,0,0
10/03/2020,Wales,Pillar 2,0,0
10/03/2020,UK,Pillar 2,0,0
11/03/2020,England,Pillar 1,353,1124
11/03/2020,Northern Ireland,Pillar 1,11,16
11/03/2020,Scotland,Pillar 1,27,94
11/03/2020,Wales,Pillar 1,15,35
11/03/2020,UK,Pillar 1,406,1269
11/03/2020,England,Pillar 2,0,0
11/03/2020,Northern Ireland,Pillar 2,0,0
11/03/2020,Scotland,Pillar 2,0,0
11/03/2020,Wales,Pillar 2,0,0
11/03/2020,UK,Pillar 2,0,0
12/03/2020,England,Pillar 1,415,1539
12/03/2020,Northern Ireland,Pillar 1,4,20
12/03/2020,Scotland,Pillar 1,40,134
12/03/2020,Wales,Pillar 1,25,60
12/03/2020,UK,Pillar 1,484,1753
12/03/2020,England,Pillar 2,0,0
12/03/2020,Northern Ireland,Pillar 2,0,0
12/03/2020,Scotland,Pillar 2,0,0
12/03/2020,Wales,Pillar 2,0,0
12/03/2020,UK,Pillar 2,0,0
13/03/2020,England,Pillar 1,392,1931
13/03/2020,Northern Ireland,Pillar 1,11,31
13/03/2020,Scotland,Pillar 1,47,181
13/03/2020,Wales,Pillar 1,28,88
13/03/2020,UK,Pillar 1,478,2231
13/03/2020,England,Pillar 2,0,0
13/03/2020,Northern Ireland,Pillar 2,0,0
13/03/2020,Scotland,Pillar 2,0,0
13/03/2020,Wales,Pillar 2,0,0
13/03/2020,UK,Pillar 2,0,0
14/03/2020,England,Pillar 1,314,2245
14/03/2020,Northern Ireland,Pillar 1,10,41
14/03/2020,Scotland,Pillar 1,18,199
14/03/2020,Wales,Pillar 1,19,107
14/03/2020,UK,Pillar 1,361,2592
14/03/2020,England,Pillar 2,0,0
14/03/2020,Northern Ireland,Pillar 2,0,0
14/03/2020,Scotland,Pillar 2,0,0
14/03/2020,Wales,Pillar 2,0,0
14/03/2020,UK,Pillar 2,0,0
15/03/2020,England,Pillar 1,397,2642
15/03/2020,Northern Ireland,Pillar 1,5,46
15/03/2020,Scotland,Pillar 1,11,210
15/03/2020,Wales,Pillar 1,32,139
15/03/2020,UK,Pillar 1,445,3037
15/03/2020,England,Pillar 2,0,0
15/03/2020,Northern Ireland,Pillar 2,0,0
15/03/2020,Scotland,Pillar 2,0,0
15/03/2020,Wales,Pillar 2,0,0
15/03/2020,UK,Pillar 2,0,0
16/03/2020,England,Pillar 1,546,3188
16/03/2020,Northern Ireland,Pillar 1,9,55
16/03/2020,Scotland,Pillar 1,21,231
16/03/2020,Wales,Pillar 1,37,176
16/03/2020,UK,Pillar 1,613,3650
16/03/2020,England,Pillar 2,0,0
16/03/2020,Northern Ireland,Pillar 2,0,0
16/03/2020,Scotland,Pillar 2,0,0
16/03/2020,Wales,Pillar 2,0,0
16/03/2020,UK,Pillar 2,0,0
17/03/2020,England,Pillar 1,679,3867
17/03/2020,Northern Ireland,Pillar 1,10,65
17/03/2020,Scotland,Pillar 1,43,274
