Publicly confirmed as deceased as of 5pm this day,Daily_deaths
05-Mar-20,1
06-Mar-20,1
07-Mar-20,0
08-Mar-20,1
09-Mar-20,4
10-Mar-20,0
11-Mar-20,2
12-Mar-20,1
13-Mar-20,18
14-Mar-20,15
15-Mar-20,22
16-Mar-20,16
17-Mar-20,34
18-Mar-20,43
19-Mar-20,36
20-Mar-20,56
21-Mar-20,35
22-Mar-20,74
23-Mar-20,149
24-Mar-20,187
25-Mar-20,183
26-Mar-20,284
27-Mar-20,294
28-Mar-20,214
29-Mar-20,374
30-Mar-20,382
31-Mar-20,670
01-Apr-20,652
02-Apr-20,714
03-Apr-20,760
04-Apr-20,644
05-Apr-20,568
06-Apr-20,1038
07-Apr-20,1034
08-Apr-20,1110
09-Apr-20,1152
10-Apr-20,840
11-Apr-20,686
12-Apr-20,744
13-Apr-20,1047
14-Apr-20,842
15-Apr-20,1029
16-Apr-20,936
17-Apr-20,1115
18-Apr-20,498
19-Apr-20,559
20-Apr-20,1173
21-Apr-20,837
22-Apr-20,727
23-Apr-20,1006
24-Apr-20,843
25-Apr-20,420
26-Apr-20,338
27-Apr-20,911
28-Apr-20,765
29-Apr-20,674
30-Apr-20,740
01-May-20,621
02-May-20,315
03-May-20,288
04-May-20,694
05-May-20,652
06-May-20,540
07-May-20,627
08-May-20,346
09-May-20,269
10-May-20,211
11-May-20,630
12-May-20,496
13-May-20,428
14-May-20,384
15-May-20,480
16-May-20,170
17-May-20,160
18-May-20,548
19-May-20,369
20-May-20,338
21-May-20,358
22-May-20,283
23-May-20,441
24-May-20,122
25-May-20,136
26-May-20,443
27-May-20,416
28-May-20,373
29-May-20,230
30-May-20,115
31-May-20,111
01-Jun-20,326
02-Jun-20,365
03-Jun-20,177
04-Jun-20,358
05-Jun-20,207
06-Jun-20,77
07-Jun-20,55
08-Jun-20,289
09-Jun-20,250
10-Jun-20,152
11-Jun-20,204
12-Jun-20,183
13-Jun-20,36
14-Jun-20,38
15-Jun-20,236
16-Jun-20,184
17-Jun-20,137
18-Jun-20,173
19-Jun-20,130
20-Jun-20,43
21-Jun-20,15
22-Jun-20,171
23-Jun-20,154
24-Jun-20,149
25-Jun-20,186
26-Jun-20,100
27-Jun-20,36
28-Jun-20,25
29-Jun-20,155
30-Jun-20,176
01-Jul-20,89
02-Jul-20,137
03-Jul-20,67
04-Jul-20,22
05-Jul-20,16
06-Jul-20,155
07-Jul-20,126
08-Jul-20,85
09-Jul-20,48
10-Jul-20,148
11-Jul-20,21
12-Jul-20,11
13-Jul-20,138
14-Jul-20,85
15-Jul-20,66
16-Jul-20,N/A
17-Jul-20,N/A
18-Jul-20,N/A
19-Jul-20,N/A
20-Jul-20,N/A