Region,City,long,lat,AvgR,R,max(growth_rate),min(growth_rate),growth_rate
South East,Guildford,-0.931027,51.215485,0.9,0.8 to 1,1.0,-3.0,1
London,London,-0.118092,51.509865,0.95,0.8 to 1,1.0,-5.0,1
East of England,Cambridge,0.119167,52.205276,0.9,0.8 to 1,2.0,-3.0,2
South West,Bristol,-2.58791,51.454514,0.9,0.7 to 1,2.0,-5.0,2
North West,Manchester,-2.244644,53.483959,0.85,0.7 to 1,-1.0,-5.0,-1
West Midlands,Birmingham,-1.898575,52.489471,0.85,0.7 to 1,0.0,-5.0,0
Yorkshire and the Humber,Leeds,-0.748567,54.101277,0.8,0.8 to 1,-4.0,0.0,-4
East Midlands,Nottingham,-1.15,52.950001,0.85,0.7 to 1,-5.0,0.0,-5
North East,Newcastle,-1.6,54.966667,0.8,0.8 to 1,-4.0,0.0,-4
Wales,Cardiff,-5.269,51.882,0.7,-0.6 to -0.8,0.0,-0.1,0.01
Scotland,Edinburgh,-3.188267,55.953251,0.7,0.6 to 0.9,0.0,0.0,0
North Ireland,cookstown,-6.7444,54.6418,0.7,0.5 to 0.9,0.0,0.0,0